Comment,Designator,Footprint,LCSC Part #
22pF Unpolarized capacitor,"C1,C2",C_0603_1608Metric,
4.7uF Unpolarized capacitor,C3,C_0603_1608Metric,
MountingHole Mounting Hole without connection,"H1,H2,H3",MountingHole_2.2mm_M2,
"Conn_01x07_Male Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)",J1,PinHeader_1x07_P2.54mm_Vertical,
AVR-ISP-6 Atmel 6-pin ISP connector,J2,PinHeader_2x03_P2.54mm_Vertical,
"Conn_02x20_Odd_Even Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",J3,PinHeader_2x20_P2.54mm_Vertical,
"ATmega32A-AU 16MHz, 32kB Flash, 2kB SRAM, 1kB EEPROM, JTAG, TQFP-44",U1,TQFP-44_10x10mm_P0.8mm,
conn-x220-kb ,U2,AA01B-S040VA1,
8MHz Two pin crystal,Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,
